name,value,id
123,abc,1
12445678og,ffhfggfgdf,2
456,def,3
adsfgnsadfbngsa,asdfgfassdfgfdsafg,2
ASDDFGHJKL,asdfghjkl;,1
asdfg,sdfghjkl,2
ASDFGHJKASDFGHJ,ASDFGHJKL,2
ASDFGHJKASDFGHJadsfgh,ASDFGHJKLsdgfhjkfsdgh,2
asdfhkhhggddfdgfhjj,rthjkkdasdfgfhgh,2
asdsfdvdfvfvdcscs,sdewdsdss,1
bgfbxvvregdsd34466h,"tyul;llndsfjkl,mnbvcx",3
cdvfbncdvbvnbm,ssdvfbgnhgfdccvbvb,3
dasdas,dasdsad,2
dasdasd,dasdasd,2
dasdasdasdfsgdgdfgfd,dasdasdgdfgdfgdfg,2
DASDSA,DAdsa,2
dsadsaddasdsada,fsadfdsf,1
fsdfdsfs,fsddfsd,2
ght,2474,1
"mmmsjnsj djsn",vhfdvbhjdfvbhjdv,2
sADFFGH,SADZFGHJK,1
sdfghj,asddgrthjjk,3
vdfbgfhnfgbdfb,fsdvfdhfdvdvdsvds,2
